job_id,job_title,company,location,job_description,experience,education,salary,job_type,clean_description,original_length,clean_length,extracted_skills
JOB03621,Data Analyst,Apex Solutions,"Gwalior, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, SQL and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,8-11 LPA,Internship,we are looking for a data analyst to join our team the candidate should have experience with tableau statistics sql and power bi the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,336,"['sql', 'power bi', 'tableau']"
JOB09211,Data Analyst,NextGen Systems,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Pandas, Excel, Tableau, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,12-15 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with power bi pandas excel tableau python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['python', 'sql', 'power bi', 'tableau', 'excel', 'pandas']"
JOB05023,Data Analyst,TechNova Solutions,"Chennai, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Python, SQL, Tableau, Power BI, Pandas and Statistics. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,5-7 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with python sql tableau power bi pandas and statistics the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['python', 'sql', 'power bi', 'tableau', 'pandas']"
JOB07924,QA Engineer,NexaWorks,"Noida, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, Git, API Testing, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,5-9 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with java git api testing python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,335,"['python', 'java', 'sql', 'git']"
JOB04476,Business Analyst,Apex Solutions,"Mumbai, India","We are looking for a Business Analyst to join our team. The candidate should have experience with SQL, Excel, Business Analysis, Power BI, Tableau and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,11-14 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with sql excel business analysis power bi tableau and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,378,367,"['sql', 'power bi', 'tableau', 'excel']"
JOB06709,Data Analyst,FinEdge Technologies,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, SQL, Excel and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,12-17 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi sql excel and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,339,330,"['python', 'sql', 'power bi', 'excel']"
JOB00108,Data Analyst,Quantix Technologies,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Statistics, Pandas, Power BI and Tableau. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,12-16 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with statistics pandas power bi and tableau the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,348,339,"['power bi', 'tableau', 'pandas']"
JOB03320,Software Engineer,BlueOrbit Software,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Git, REST API and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,7-12 LPA,Internship,we are looking for a software engineer to join our team the candidate should have experience with docker git rest api and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['sql', 'docker', 'git']"
JOB05658,DevOps Engineer,NexaWorks,"Noida, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Git, Linux, Kubernetes, Terraform, Jenkins and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,8-13 LPA,Contract,we are looking for a devops engineer to join our team the candidate should have experience with git linux kubernetes terraform jenkins and docker the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,364,353,"['docker', 'kubernetes', 'git']"
JOB08791,Business Analyst,DataBridge Analytics,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Communication, Business Analysis, SQL, Tableau and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,4-6 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with communication business analysis sql tableau and excel the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,368,358,"['sql', 'tableau', 'excel']"
JOB03606,Data Scientist,Vertex Digital,"Delhi, India","We are looking for a Data Scientist to join our team. The candidate should have experience with AWS, NumPy, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech,8-13 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with aws numpy pandas and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,336,327,"['sql', 'pandas', 'numpy', 'aws']"
JOB06283,Machine Learning Engineer,Vertex Digital,"Delhi, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Python, AWS, TensorFlow and Scikit-learn. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech/M.Tech,10-14 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with python aws tensorflow and scikit learn the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,352,"['python', 'tensorflow', 'aws']"
JOB02517,Data Analyst,Quantix Technologies,"Delhi, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Tableau, Pandas, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,11-16 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi tableau pandas python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,349,339,"['python', 'sql', 'power bi', 'tableau', 'pandas']"
JOB00501,QA Engineer,NexaWorks,"Gwalior, India","We are looking for a QA Engineer to join our team. The candidate should have experience with API Testing, Selenium, SQL and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,6-11 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with api testing selenium sql and jira the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,['sql']
JOB08794,DevOps Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Git, Jenkins, Docker and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,7-12 LPA,Full-time,we are looking for a devops engineer to join our team the candidate should have experience with terraform git jenkins docker and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,352,342,"['docker', 'git']"
JOB01922,DevOps Engineer,Quantix Technologies,"Hyderabad, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Docker, AWS and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,8-10 LPA,Internship,we are looking for a devops engineer to join our team the candidate should have experience with terraform docker aws and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['aws', 'docker']"
JOB04302,QA Engineer,Apex Solutions,"Gurgaon, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Selenium, API Testing, Jira and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Bachelor's Degree,6-11 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with selenium api testing jira and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,['sql']
JOB09113,Cloud Engineer,Apex Solutions,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with AWS, Linux, Docker and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,12-15 LPA,Internship,we are looking for a cloud engineer to join our team the candidate should have experience with aws linux docker and kubernetes the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['aws', 'docker', 'kubernetes']"
JOB09728,Business Analyst,InnovateLabs,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, Power BI, Tableau, SQL and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech/M.Tech,9-11 LPA,Contract,we are looking for a business analyst to join our team the candidate should have experience with excel power bi tableau sql and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,359,349,"['sql', 'power bi', 'tableau', 'excel']"
JOB06272,Business Analyst,BlueOrbit Software,"Bangalore, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, SQL, Tableau, Power BI and Business Analysis. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,8-13 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with excel sql tableau power bi and business analysis the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,363,353,"['sql', 'power bi', 'tableau', 'excel']"
JOB04443,Cloud Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Terraform, Python, Azure and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Bachelor's Degree,9-13 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with terraform python azure and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,344,335,"['python', 'azure']"
JOB06729,Cloud Engineer,Quantix Technologies,Remote,"We are looking for a Cloud Engineer to join our team. The candidate should have experience with Python, Kubernetes, Terraform, AWS and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech,3-6 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with python kubernetes terraform aws and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,344,"['python', 'aws', 'kubernetes']"
JOB04534,Data Scientist,TechNova Solutions,"Gwalior, India","We are looking for a Data Scientist to join our team. The candidate should have experience with SQL, Machine Learning, AWS, Python and NumPy. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,9-11 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with sql machine learning aws python and numpy the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,344,"['python', 'sql', 'numpy', 'aws']"
JOB00034,Data Analyst,Quantix Technologies,"Noida, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Excel, Tableau, Statistics, Python, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,9-14 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with excel tableau statistics python pandas and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,358,347,"['python', 'sql', 'tableau', 'excel', 'pandas']"
JOB09850,Cloud Engineer,CodeCraft India,"Pune, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Azure, Docker, AWS and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,11-16 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with azure docker aws and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,339,330,"['python', 'aws', 'azure', 'docker']"
JOB04429,Data Scientist,NextGen Systems,"Pune, India","We are looking for a Data Scientist to join our team. The candidate should have experience with Python, Pandas, NumPy, SQL, Scikit-learn and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,11-15 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with python pandas numpy sql scikit learn and aws the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,358,347,"['python', 'sql', 'pandas', 'numpy', 'aws']"
JOB00569,QA Engineer,NextGen Systems,"Delhi, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Selenium, Git, API Testing and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech,6-8 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with selenium git api testing and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,344,335,"['python', 'git']"
JOB01510,Data Analyst,CodeCraft India,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, Python, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech,12-14 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with tableau statistics python pandas and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,351,341,"['python', 'sql', 'tableau', 'pandas']"
JOB07788,Backend Developer,InnovateLabs,"Pune, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Docker, Java, SQL and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,10-14 LPA,Contract,we are looking for a backend developer to join our team the candidate should have experience with docker java sql and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,341,332,"['python', 'java', 'sql', 'docker']"
JOB00304,Software Engineer,Quantix Technologies,"Gurgaon, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Git, Python, SQL, REST API and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,5-8 LPA,Internship,we are looking for a software engineer to join our team the candidate should have experience with git python sql rest api and docker the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,350,340,"['python', 'sql', 'docker', 'git']"
JOB07549,Software Engineer,CodeCraft India,Remote,"We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Java, Python, C++ and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,5-7 LPA,Full-time,we are looking for a software engineer to join our team the candidate should have experience with docker java python c and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,346,334,"['python', 'java', 'sql', 'docker']"
JOB05530,Backend Developer,Apex Solutions,"Pune, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Python, Docker, Node.js and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,9-12 LPA,Full-time,we are looking for a backend developer to join our team the candidate should have experience with python docker node js and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,344,335,"['python', 'sql', 'docker']"
JOB01122,Data Scientist,NexaWorks,Remote,"We are looking for a Data Scientist to join our team. The candidate should have experience with Machine Learning, Scikit-learn, Python, AWS, SQL and NumPy. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Bachelor's Degree,10-14 LPA,Part-time,we are looking for a data scientist to join our team the candidate should have experience with machine learning scikit learn python aws sql and numpy the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,368,357,"['python', 'sql', 'numpy', 'aws']"
JOB05205,QA Engineer,CloudSphere,"Delhi, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, SQL, Selenium, API Testing, Python and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,6-9 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with java sql selenium api testing python and jira the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['python', 'java', 'sql']"
JOB07289,Software Engineer,DataBridge Analytics,"Noida, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Python, Git, SQL, C++, Docker and Java. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,5-7 LPA,Contract,we are looking for a software engineer to join our team the candidate should have experience with python git sql c docker and java the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,351,338,"['python', 'java', 'sql', 'docker', 'git']"
JOB05909,Backend Developer,BlueOrbit Software,"Gwalior, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Python, SQL, Java, Node.js and PostgreSQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.E.,5-9 LPA,Full-time,we are looking for a backend developer to join our team the candidate should have experience with python sql java node js and postgresql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,344,"['python', 'java', 'sql', 'postgresql']"
JOB09842,Software Engineer,NextGen Systems,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, C++, REST API, SQL, Java and Git. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.E.,4-6 LPA,Full-time,we are looking for a software engineer to join our team the candidate should have experience with docker c rest api sql java and git the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,353,340,"['java', 'sql', 'docker', 'git']"
JOB02376,Cloud Engineer,Apex Solutions,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Kubernetes, AWS, Docker and Azure. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech/M.Tech,11-15 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with kubernetes aws docker and azure the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['aws', 'azure', 'docker', 'kubernetes']"
