job_id,job_title,company,location,job_description,experience,education,salary,job_type,clean_description,original_length,clean_length,processed_text
JOB07924,QA Engineer,NexaWorks,"Noida, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, Git, API Testing, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,5-9 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with java git api testing python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,335,"['looking', 'qa', 'engineer', 'join', 'team', 'candidate', 'experience', 'java', 'git', 'api', 'testing', 'python', 'sql', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB04476,Business Analyst,Apex Solutions,"Mumbai, India","We are looking for a Business Analyst to join our team. The candidate should have experience with SQL, Excel, Business Analysis, Power BI, Tableau and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,11-14 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with sql excel business analysis power bi tableau and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,378,367,"['looking', 'business', 'analyst', 'join', 'team', 'candidate', 'experience', 'sql', 'excel', 'business', 'analysis', 'power', 'bi', 'tableau', 'communication', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB06709,Data Analyst,FinEdge Technologies,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, SQL, Excel and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,12-17 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi sql excel and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,339,330,"['looking', 'data', 'analyst', 'join', 'team', 'candidate', 'experience', 'power', 'bi', 'sql', 'excel', 'python', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB00108,Data Analyst,Quantix Technologies,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Statistics, Pandas, Power BI and Tableau. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,12-16 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with statistics pandas power bi and tableau the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,348,339,"['looking', 'data', 'analyst', 'join', 'team', 'candidate', 'experience', 'statistic', 'panda', 'power', 'bi', 'tableau', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB03320,Software Engineer,BlueOrbit Software,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Git, REST API and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,7-12 LPA,Internship,we are looking for a software engineer to join our team the candidate should have experience with docker git rest api and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['looking', 'software', 'engineer', 'join', 'team', 'candidate', 'experience', 'docker', 'git', 'rest', 'api', 'sql', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB05658,DevOps Engineer,NexaWorks,"Noida, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Git, Linux, Kubernetes, Terraform, Jenkins and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,8-13 LPA,Contract,we are looking for a devops engineer to join our team the candidate should have experience with git linux kubernetes terraform jenkins and docker the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,364,353,"['looking', 'devops', 'engineer', 'join', 'team', 'candidate', 'experience', 'git', 'linux', 'kubernetes', 'terraform', 'jenkins', 'docker', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB08791,Business Analyst,DataBridge Analytics,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Communication, Business Analysis, SQL, Tableau and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,4-6 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with communication business analysis sql tableau and excel the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,368,358,"['looking', 'business', 'analyst', 'join', 'team', 'candidate', 'experience', 'communication', 'business', 'analysis', 'sql', 'tableau', 'excel', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB03606,Data Scientist,Vertex Digital,"Delhi, India","We are looking for a Data Scientist to join our team. The candidate should have experience with AWS, NumPy, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech,8-13 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with aws numpy pandas and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,336,327,"['looking', 'data', 'scientist', 'join', 'team', 'candidate', 'experience', 'aws', 'numpy', 'panda', 'sql', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB06283,Machine Learning Engineer,Vertex Digital,"Delhi, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Python, AWS, TensorFlow and Scikit-learn. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech/M.Tech,10-14 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with python aws tensorflow and scikit learn the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,352,"['looking', 'machine', 'learning', 'engineer', 'join', 'team', 'candidate', 'experience', 'python', 'aws', 'tensorflow', 'scikit', 'learn', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB02517,Data Analyst,Quantix Technologies,"Delhi, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Tableau, Pandas, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,11-16 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi tableau pandas python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,349,339,"['looking', 'data', 'analyst', 'join', 'team', 'candidate', 'experience', 'power', 'bi', 'tableau', 'panda', 'python', 'sql', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB00501,QA Engineer,NexaWorks,"Gwalior, India","We are looking for a QA Engineer to join our team. The candidate should have experience with API Testing, Selenium, SQL and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,6-11 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with api testing selenium sql and jira the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['looking', 'qa', 'engineer', 'join', 'team', 'candidate', 'experience', 'api', 'testing', 'selenium', 'sql', 'jira', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB08794,DevOps Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Git, Jenkins, Docker and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,7-12 LPA,Full-time,we are looking for a devops engineer to join our team the candidate should have experience with terraform git jenkins docker and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,352,342,"['looking', 'devops', 'engineer', 'join', 'team', 'candidate', 'experience', 'terraform', 'git', 'jenkins', 'docker', 'linux', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB01922,DevOps Engineer,Quantix Technologies,"Hyderabad, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Docker, AWS and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,8-10 LPA,Internship,we are looking for a devops engineer to join our team the candidate should have experience with terraform docker aws and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['looking', 'devops', 'engineer', 'join', 'team', 'candidate', 'experience', 'terraform', 'docker', 'aws', 'linux', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB04302,QA Engineer,Apex Solutions,"Gurgaon, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Selenium, API Testing, Jira and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Bachelor's Degree,6-11 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with selenium api testing jira and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['looking', 'qa', 'engineer', 'join', 'team', 'candidate', 'experience', 'selenium', 'api', 'testing', 'jira', 'sql', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB09113,Cloud Engineer,Apex Solutions,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with AWS, Linux, Docker and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,12-15 LPA,Internship,we are looking for a cloud engineer to join our team the candidate should have experience with aws linux docker and kubernetes the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['looking', 'cloud', 'engineer', 'join', 'team', 'candidate', 'experience', 'aws', 'linux', 'docker', 'kubernetes', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB09728,Business Analyst,InnovateLabs,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, Power BI, Tableau, SQL and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech/M.Tech,9-11 LPA,Contract,we are looking for a business analyst to join our team the candidate should have experience with excel power bi tableau sql and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,359,349,"['looking', 'business', 'analyst', 'join', 'team', 'candidate', 'experience', 'excel', 'power', 'bi', 'tableau', 'sql', 'communication', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB06272,Business Analyst,BlueOrbit Software,"Bangalore, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, SQL, Tableau, Power BI and Business Analysis. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,8-13 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with excel sql tableau power bi and business analysis the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,363,353,"['looking', 'business', 'analyst', 'join', 'team', 'candidate', 'experience', 'excel', 'sql', 'tableau', 'power', 'bi', 'business', 'analysis', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB04443,Cloud Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Terraform, Python, Azure and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Bachelor's Degree,9-13 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with terraform python azure and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,344,335,"['looking', 'cloud', 'engineer', 'join', 'team', 'candidate', 'experience', 'terraform', 'python', 'azure', 'linux', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
