job_id,job_title,company,location,job_description,experience,education,salary,job_type,clean_description,original_length,clean_length,regex_skills,phrase_skills
JOB06729,Cloud Engineer,Quantix Technologies,Remote,"We are looking for a Cloud Engineer to join our team. The candidate should have experience with Python, Kubernetes, Terraform, AWS and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech,3-6 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with python kubernetes terraform aws and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,344,"['Python', 'AWS', 'Kubernetes']",[]
JOB04534,Data Scientist,TechNova Solutions,"Gwalior, India","We are looking for a Data Scientist to join our team. The candidate should have experience with SQL, Machine Learning, AWS, Python and NumPy. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,9-11 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with sql machine learning aws python and numpy the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,344,"['Python', 'SQL', 'AWS', 'Machine Learning']",['machine learning']
JOB00034,Data Analyst,Quantix Technologies,"Noida, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Excel, Tableau, Statistics, Python, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,9-14 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with excel tableau statistics python pandas and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,358,347,"['Python', 'SQL']",[]
JOB09850,Cloud Engineer,CodeCraft India,"Pune, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Azure, Docker, AWS and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,11-16 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with azure docker aws and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,339,330,"['Python', 'AWS', 'Azure', 'Docker']",[]
JOB04429,Data Scientist,NextGen Systems,"Pune, India","We are looking for a Data Scientist to join our team. The candidate should have experience with Python, Pandas, NumPy, SQL, Scikit-learn and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,11-15 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with python pandas numpy sql scikit learn and aws the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,358,347,"['Python', 'SQL', 'AWS']",[]
JOB00569,QA Engineer,NextGen Systems,"Delhi, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Selenium, Git, API Testing and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech,6-8 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with selenium git api testing and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,344,335,['Python'],[]
JOB01510,Data Analyst,CodeCraft India,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, Python, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech,12-14 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with tableau statistics python pandas and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,351,341,"['Python', 'SQL']",[]
JOB07788,Backend Developer,InnovateLabs,"Pune, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Docker, Java, SQL and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,10-14 LPA,Contract,we are looking for a backend developer to join our team the candidate should have experience with docker java sql and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,341,332,"['Python', 'SQL', 'Java', 'Docker']",[]
JOB00304,Software Engineer,Quantix Technologies,"Gurgaon, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Git, Python, SQL, REST API and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,5-8 LPA,Internship,we are looking for a software engineer to join our team the candidate should have experience with git python sql rest api and docker the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,350,340,"['Python', 'SQL', 'Docker']",[]
JOB07549,Software Engineer,CodeCraft India,Remote,"We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Java, Python, C++ and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,5-7 LPA,Full-time,we are looking for a software engineer to join our team the candidate should have experience with docker java python c and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,346,334,"['Python', 'SQL', 'Java', 'Docker']",[]
JOB05530,Backend Developer,Apex Solutions,"Pune, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Python, Docker, Node.js and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,9-12 LPA,Full-time,we are looking for a backend developer to join our team the candidate should have experience with python docker node js and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,344,335,"['Python', 'SQL', 'Docker']",[]
JOB01122,Data Scientist,NexaWorks,Remote,"We are looking for a Data Scientist to join our team. The candidate should have experience with Machine Learning, Scikit-learn, Python, AWS, SQL and NumPy. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Bachelor's Degree,10-14 LPA,Part-time,we are looking for a data scientist to join our team the candidate should have experience with machine learning scikit learn python aws sql and numpy the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,368,357,"['Python', 'SQL', 'AWS', 'Machine Learning']",['machine learning']
JOB05205,QA Engineer,CloudSphere,"Delhi, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, SQL, Selenium, API Testing, Python and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,6-9 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with java sql selenium api testing python and jira the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['Python', 'SQL', 'Java']",[]
JOB07289,Software Engineer,DataBridge Analytics,"Noida, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Python, Git, SQL, C++, Docker and Java. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,5-7 LPA,Contract,we are looking for a software engineer to join our team the candidate should have experience with python git sql c docker and java the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,351,338,"['Python', 'SQL', 'Java', 'Docker']",[]
JOB05909,Backend Developer,BlueOrbit Software,"Gwalior, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Python, SQL, Java, Node.js and PostgreSQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.E.,5-9 LPA,Full-time,we are looking for a backend developer to join our team the candidate should have experience with python sql java node js and postgresql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,344,"['Python', 'SQL', 'Java']",[]
JOB09842,Software Engineer,NextGen Systems,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, C++, REST API, SQL, Java and Git. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.E.,4-6 LPA,Full-time,we are looking for a software engineer to join our team the candidate should have experience with docker c rest api sql java and git the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,353,340,"['SQL', 'Java', 'Docker']",[]
JOB02376,Cloud Engineer,Apex Solutions,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Kubernetes, AWS, Docker and Azure. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech/M.Tech,11-15 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with kubernetes aws docker and azure the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['AWS', 'Azure', 'Docker', 'Kubernetes']",[]
