job_id,job_title,company,location,job_description,experience,education,salary,job_type
JOB03621,Data Analyst,Apex Solutions,"Gwalior, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, SQL and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,8-11 LPA,Internship
JOB09211,Data Analyst,NextGen Systems,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Pandas, Excel, Tableau, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,12-15 LPA,Contract
JOB05023,Data Analyst,TechNova Solutions,"Chennai, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Python, SQL, Tableau, Power BI, Pandas and Statistics. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,5-7 LPA,Contract
JOB07924,QA Engineer,NexaWorks,"Noida, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, Git, API Testing, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,5-9 LPA,Full-time
JOB04476,Business Analyst,Apex Solutions,"Mumbai, India","We are looking for a Business Analyst to join our team. The candidate should have experience with SQL, Excel, Business Analysis, Power BI, Tableau and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,11-14 LPA,Full-time
JOB06709,Data Analyst,FinEdge Technologies,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, SQL, Excel and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,12-17 LPA,Full-time
JOB00108,Data Analyst,Quantix Technologies,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Statistics, Pandas, Power BI and Tableau. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,12-16 LPA,Contract
JOB03320,Software Engineer,BlueOrbit Software,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Git, REST API and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,7-12 LPA,Internship
JOB05658,DevOps Engineer,NexaWorks,"Noida, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Git, Linux, Kubernetes, Terraform, Jenkins and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,8-13 LPA,Contract
JOB08791,Business Analyst,DataBridge Analytics,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Communication, Business Analysis, SQL, Tableau and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,4-6 LPA,Full-time
JOB03606,Data Scientist,Vertex Digital,"Delhi, India","We are looking for a Data Scientist to join our team. The candidate should have experience with AWS, NumPy, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech,8-13 LPA,Full-time
JOB06283,Machine Learning Engineer,Vertex Digital,"Delhi, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Python, AWS, TensorFlow and Scikit-learn. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech/M.Tech,10-14 LPA,Full-time
JOB02517,Data Analyst,Quantix Technologies,"Delhi, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Tableau, Pandas, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,11-16 LPA,Full-time
JOB00501,QA Engineer,NexaWorks,"Gwalior, India","We are looking for a QA Engineer to join our team. The candidate should have experience with API Testing, Selenium, SQL and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,6-11 LPA,Full-time
JOB08794,DevOps Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Git, Jenkins, Docker and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,7-12 LPA,Full-time
JOB01922,DevOps Engineer,Quantix Technologies,"Hyderabad, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Docker, AWS and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,8-10 LPA,Internship
JOB04302,QA Engineer,Apex Solutions,"Gurgaon, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Selenium, API Testing, Jira and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Bachelor's Degree,6-11 LPA,Full-time
JOB09113,Cloud Engineer,Apex Solutions,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with AWS, Linux, Docker and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,12-15 LPA,Internship
JOB09728,Business Analyst,InnovateLabs,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, Power BI, Tableau, SQL and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech/M.Tech,9-11 LPA,Contract
JOB06272,Business Analyst,BlueOrbit Software,"Bangalore, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, SQL, Tableau, Power BI and Business Analysis. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,8-13 LPA,Full-time
JOB04443,Cloud Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Terraform, Python, Azure and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Bachelor's Degree,9-13 LPA,Full-time
JOB06729,Cloud Engineer,Quantix Technologies,Remote,"We are looking for a Cloud Engineer to join our team. The candidate should have experience with Python, Kubernetes, Terraform, AWS and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech,3-6 LPA,Full-time
JOB04534,Data Scientist,TechNova Solutions,"Gwalior, India","We are looking for a Data Scientist to join our team. The candidate should have experience with SQL, Machine Learning, AWS, Python and NumPy. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,9-11 LPA,Full-time
JOB00034,Data Analyst,Quantix Technologies,"Noida, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Excel, Tableau, Statistics, Python, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,9-14 LPA,Full-time
JOB09850,Cloud Engineer,CodeCraft India,"Pune, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Azure, Docker, AWS and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,11-16 LPA,Full-time
JOB04429,Data Scientist,NextGen Systems,"Pune, India","We are looking for a Data Scientist to join our team. The candidate should have experience with Python, Pandas, NumPy, SQL, Scikit-learn and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,11-15 LPA,Full-time
JOB00569,QA Engineer,NextGen Systems,"Delhi, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Selenium, Git, API Testing and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech,6-8 LPA,Full-time
JOB01510,Data Analyst,CodeCraft India,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, Python, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech,12-14 LPA,Full-time
JOB07788,Backend Developer,InnovateLabs,"Pune, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Docker, Java, SQL and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,10-14 LPA,Contract
JOB00304,Software Engineer,Quantix Technologies,"Gurgaon, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Git, Python, SQL, REST API and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,5-8 LPA,Internship
JOB07549,Software Engineer,CodeCraft India,Remote,"We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Java, Python, C++ and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,5-7 LPA,Full-time
JOB05530,Backend Developer,Apex Solutions,"Pune, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Python, Docker, Node.js and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,9-12 LPA,Full-time
JOB01122,Data Scientist,NexaWorks,Remote,"We are looking for a Data Scientist to join our team. The candidate should have experience with Machine Learning, Scikit-learn, Python, AWS, SQL and NumPy. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Bachelor's Degree,10-14 LPA,Part-time
JOB05205,QA Engineer,CloudSphere,"Delhi, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, SQL, Selenium, API Testing, Python and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,6-9 LPA,Full-time
JOB07289,Software Engineer,DataBridge Analytics,"Noida, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Python, Git, SQL, C++, Docker and Java. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,5-7 LPA,Contract
JOB05909,Backend Developer,BlueOrbit Software,"Gwalior, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Python, SQL, Java, Node.js and PostgreSQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.E.,5-9 LPA,Full-time
JOB09842,Software Engineer,NextGen Systems,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, C++, REST API, SQL, Java and Git. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.E.,4-6 LPA,Full-time
JOB02376,Cloud Engineer,Apex Solutions,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Kubernetes, AWS, Docker and Azure. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech/M.Tech,11-15 LPA,Full-time
JOB02448,Software Engineer,FinEdge Technologies,Remote,"We are looking for a Software Engineer to join our team. The candidate should have experience with Git, Java, SQL, C++, Docker and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Bachelor's Degree,12-17 LPA,Full-time
JOB05454,Data Scientist,Apex Solutions,"Chennai, India","We are looking for a Data Scientist to join our team. The candidate should have experience with SQL, Machine Learning, NumPy, Pandas, AWS and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech,9-11 LPA,Contract
JOB00316,Software Engineer,Quantix Technologies,"Gwalior, India","We are looking for a Software Engineer to join our team. The candidate should have experience with REST API, Docker, C++, Python, Java and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,11-16 LPA,Contract
JOB08616,DevOps Engineer,Quantix Technologies,"Mumbai, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Git, Terraform, AWS and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Master's Degree,8-12 LPA,Full-time
JOB03527,Cloud Engineer,TechNova Solutions,Remote,"We are looking for a Cloud Engineer to join our team. The candidate should have experience with Terraform, Kubernetes, Azure, Python, Linux and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,5-7 LPA,Contract
JOB05548,Cloud Engineer,BlueOrbit Software,"Gwalior, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Kubernetes, Python, Terraform and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,6-11 LPA,Full-time
JOB08053,DevOps Engineer,NexaWorks,"Mumbai, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Linux, Jenkins, Terraform, Git and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Master's Degree,8-10 LPA,Contract
JOB00097,Cloud Engineer,FinEdge Technologies,"Hyderabad, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Python, Terraform, Kubernetes, AWS and Azure. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,9-12 LPA,Full-time
JOB07530,Backend Developer,InnovateLabs,"Pune, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Docker, Java, REST API, Python and PostgreSQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,9-13 LPA,Full-time
JOB01057,QA Engineer,CloudSphere,"Delhi, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Selenium, SQL, Jira, Git, API Testing and Java. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,5-7 LPA,Part-time
JOB09677,Backend Developer,Quantix Technologies,Remote,"We are looking for a Backend Developer to join our team. The candidate should have experience with Docker, SQL, Node.js and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,6-11 LPA,Full-time
JOB08569,Software Engineer,Apex Solutions,"Mumbai, India","We are looking for a Software Engineer to join our team. The candidate should have experience with C++, Java, Git, Docker and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,5-9 LPA,Internship
JOB03820,Cloud Engineer,Quantix Technologies,"Bangalore, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Linux, Azure, Docker, Terraform, AWS and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech/M.Tech,3-6 LPA,Contract
JOB08536,Frontend Developer,Apex Solutions,"Bangalore, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with REST API, CSS, Git, HTML and JavaScript. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech/M.Tech,5-7 LPA,Internship
JOB04112,Cloud Engineer,TechNova Solutions,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Docker, AWS, Linux and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,12-15 LPA,Full-time
JOB06740,QA Engineer,NextGen Systems,"Mumbai, India","We are looking for a QA Engineer to join our team. The candidate should have experience with API Testing, Git, Python, SQL and Java. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech/M.Tech,5-8 LPA,Contract
JOB01497,Data Scientist,Apex Solutions,"Noida, India","We are looking for a Data Scientist to join our team. The candidate should have experience with Scikit-learn, SQL, AWS, Python and NumPy. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech/M.Tech,6-8 LPA,Full-time
JOB00577,Backend Developer,DataBridge Analytics,"Gwalior, India","We are looking for a Backend Developer to join our team. The candidate should have experience with PostgreSQL, Node.js, REST API, Docker, Java and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Master's Degree,12-14 LPA,Full-time
JOB02271,Data Analyst,CloudSphere,"Delhi, India","We are looking for a Data Analyst to join our team. The candidate should have experience with SQL, Excel, Python and Statistics. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,5-7 LPA,Full-time
JOB01442,Data Analyst,Vertex Digital,"Pune, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, Excel and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,5-9 LPA,Contract
JOB05015,Data Scientist,FinEdge Technologies,"Delhi, India","We are looking for a Data Scientist to join our team. The candidate should have experience with SQL, Python, Scikit-learn, Pandas, NumPy and Machine Learning. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,9-11 LPA,Full-time
JOB05917,DevOps Engineer,CodeCraft India,Remote,"We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Linux, Jenkins, Git, AWS and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,3-6 LPA,Full-time
JOB00736,Cloud Engineer,InnovateLabs,"Bangalore, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Docker, Terraform, Linux and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech/M.Tech,7-10 LPA,Full-time
JOB01072,Machine Learning Engineer,FinEdge Technologies,"Hyderabad, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with SQL, TensorFlow, AWS and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,6-11 LPA,Full-time
JOB02803,Backend Developer,NexaWorks,"Noida, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Node.js, Python, Docker and Java. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,10-13 LPA,Full-time
JOB08161,Machine Learning Engineer,Vertex Digital,"Noida, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with SQL, TensorFlow, Python, Scikit-learn and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,5-10 LPA,Full-time
JOB05921,QA Engineer,Quantix Technologies,"Mumbai, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Jira, API Testing, SQL, Python and Java. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,6-10 LPA,Full-time
JOB05567,Software Engineer,FinEdge Technologies,"Gurgaon, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Python, REST API, Git and C++. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Bachelor's Degree,6-11 LPA,Full-time
JOB09670,Business Analyst,Vertex Digital,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with SQL, Communication, Tableau, Excel and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech,6-8 LPA,Full-time
JOB07471,Data Scientist,TechNova Solutions,"Pune, India","We are looking for a Data Scientist to join our team. The candidate should have experience with Python, Pandas, SQL, Machine Learning and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech/M.Tech,5-7 LPA,Full-time
JOB05268,Software Engineer,InnovateLabs,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with REST API, Java, SQL, Git, Python and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,12-14 LPA,Contract
JOB06655,Data Analyst,DataBridge Analytics,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Pandas, Excel, Python, Power BI, SQL and Tableau. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.E.,6-11 LPA,Contract
JOB09812,QA Engineer,FinEdge Technologies,"Gwalior, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, Git, Python, Jira, SQL and API Testing. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Bachelor's Degree,12-16 LPA,Full-time
JOB05401,Business Analyst,Vertex Digital,"Hyderabad, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Tableau, Business Analysis, Excel and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech/M.Tech,10-12 LPA,Full-time
