job_id,job_title,company,location,job_description,experience,education,salary,job_type,clean_description,original_length,clean_length,transformer_skills
JOB03621,Data Analyst,Apex Solutions,"Gwalior, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, SQL and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,8-11 LPA,Internship,we are looking for a data analyst to join our team the candidate should have experience with tableau statistics sql and power bi the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,336,"['tableau', 'sql', 'power bi']"
JOB09211,Data Analyst,NextGen Systems,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Pandas, Excel, Tableau, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,12-15 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with power bi pandas excel tableau python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['power bi', 'pandas', 'excel', 'tableau', 'python', 'sql']"
JOB05023,Data Analyst,TechNova Solutions,"Chennai, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Python, SQL, Tableau, Power BI, Pandas and Statistics. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,5-7 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with python sql tableau power bi pandas and statistics the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['python', 'sql', 'tableau', 'power bi', 'pandas']"
JOB07924,QA Engineer,NexaWorks,"Noida, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, Git, API Testing, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,5-9 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with java git api testing python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,335,"['java', 'git', 'python', 'sql']"
JOB04476,Business Analyst,Apex Solutions,"Mumbai, India","We are looking for a Business Analyst to join our team. The candidate should have experience with SQL, Excel, Business Analysis, Power BI, Tableau and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,11-14 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with sql excel business analysis power bi tableau and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,378,367,"['sql', 'excel', 'power bi', 'tableau']"
JOB06709,Data Analyst,FinEdge Technologies,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, SQL, Excel and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,12-17 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi sql excel and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,339,330,"['power bi', 'sql', 'excel', 'python']"
JOB00108,Data Analyst,Quantix Technologies,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Statistics, Pandas, Power BI and Tableau. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,12-16 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with statistics pandas power bi and tableau the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,348,339,"['pandas', 'power bi', 'tableau']"
JOB03320,Software Engineer,BlueOrbit Software,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Git, REST API and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,7-12 LPA,Internship,we are looking for a software engineer to join our team the candidate should have experience with docker git rest api and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['docker', 'git', 'sql']"
JOB05658,DevOps Engineer,NexaWorks,"Noida, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Git, Linux, Kubernetes, Terraform, Jenkins and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,8-13 LPA,Contract,we are looking for a devops engineer to join our team the candidate should have experience with git linux kubernetes terraform jenkins and docker the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,364,353,"['git', 'kubernetes', 'docker']"
JOB08791,Business Analyst,DataBridge Analytics,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Communication, Business Analysis, SQL, Tableau and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,4-6 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with communication business analysis sql tableau and excel the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,368,358,"['sql', 'tableau', 'excel']"
